"Project","MethodIndex","Method","Count","Tests"
"gson","1","com.google.gson.internal.bind.DefaultDateTypeAdapter.deserializeToDate(JsonReader)","3","com.google.gson.internal.bind.DefaultDateTypeAdapterTest.testParsingDatesFormattedWithSystemLocale [gson],com.google.gson.internal.bind.DefaultDateTypeAdapterTest.testParsingDatesFormattedWithUsLocale [gson]"
"gson","2","com.google.gson.internal.bind.util.ISO8601Utils.parse(String,ParsePosition)","2","com.google.gson.internal.bind.util.ISO8601UtilsTest.testDateParseWithTimezone [gson],com.google.gson.internal.bind.util.ISO8601UtilsTest.testDateParseWithDefaultTimezone [gson]"
"gson","3","com.google.gson.Gson.getAdapter(TypeToken<T>)","2","com.google.gson.functional.SerializedNameTest.testMultipleNamesInTheSameString [gson],com.google.gson.functional.StringTest.testEscapedBackslashInStringDeserialization [gson]"
"gson","4","com.google.gson.stream.JsonReader.nextQuotedValue(char)","2","com.google.gson.JsonParserTest.testParseDeeplyNestedObjects [gson],com.google.gson.stream.JsonReaderTest.testVeryLongQuotedString [gson]"
"gson","5","com.google.gson.Gson.toJson(Object,Type,JsonWriter)","2","com.google.gson.functional.ArrayTest.testNullsInArrayWithSerializeNullPropertySetSerialization [gson],com.google.gson.functional.ArrayTest.testEmptyArraySerialization [gson]"
"gson","6","com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory.create(Gson,TypeToken<T>)","2","com.google.gson.functional.JsonAdapterAnnotationOnClassesTest.testIncorrectTypeAdapterFails [gson],com.google.gson.regression.JsonAdapterNullSafeTest.testNullSafeBugSerialize [gson]"
"gson","7","com.google.gson.Gson.atomicLongAdapter(TypeAdapter<Number>)","2","com.google.gson.functional.EnumTest.testCollectionOfEnumsDeserialization [gson],com.google.gson.functional.ObjectTest.testStaticFieldDeserialization [gson]"
"gson","8","com.google.gson.internal.Excluder.isAnonymousOrNonStaticLocal(Class<?>)","1","com.google.gson.functional.TypeAdapterRuntimeTypeWrapperTest.testJsonSerializer [gson]"
"gson","9","com.google.gson.internal.Streams.parse(JsonReader)","1","com.google.gson.internal.bind.JsonElementReaderTest.testEmptyObject [gson]"
"gson","10","com.google.gson.stream.JsonReader.peek()","1","com.google.gson.functional.ReadersWritersTest.testTopLevelNullObjectDeserializationWithReader [gson]"
"gson","11","com.google.gson.Gson.toJson(Object,Type,Appendable)","1","com.google.gson.functional.JavaUtilConcurrentAtomicTest.testAtomicIntegerArray [gson]"
"gson","12","com.google.gson.stream.JsonWriter.setFormattingStyle(FormattingStyle)","1","com.google.gson.OverrideCoreTypeAdaptersTest.testOverrideStringAdapter [gson]"
"gson","13","com.google.gson.internal.bind.util.ISO8601Utils.format(Date,boolean,TimeZone)","1","com.google.gson.internal.bind.util.ISO8601UtilsTest.testDateFormatWithTimezone [gson]"
"gson","14","com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper.write(JsonWriter,T)","1","com.google.gson.functional.DelegateTypeAdapterTest.testDelegateInvoked [gson]"
"gson","15","com.google.gson.stream.JsonReader.nextString()","1","com.google.gson.ToNumberPolicyTest.testBigDecimal [gson]"
"gson","16","com.google.gson.internal.PreJava9DateFormatProvider.getUSDateTimeFormat(int,int)","1","com.google.gson.internal.bind.DefaultDateTypeAdapterTest.testFormatUsesDefaultTimezone [gson]"
"gson","17","com.google.gson.internal.PreJava9DateFormatProvider.getUSDateFormat(int)","1","com.google.gson.internal.bind.DefaultDateTypeAdapterTest.testParsingDatesFormattedWithSystemLocale [gson]"
"gson","18","com.google.gson.internal.bind.ReflectiveTypeAdapterFactory.getBoundFields(Gson,TypeToken<?>,Class<?>,boolean,boolean)","1","com.google.gson.functional.TypeVariableTest.testBasicTypeVariables [gson]"
"gson","19","com.google.gson.internal.ConstructorConstructor.get(TypeToken<T>)","1","com.google.gson.functional.UncategorizedTest.testTrailingWhitespace [gson]"
"gson","20","com.google.gson.stream.JsonReader.hasNext()","1","com.google.gson.ObjectTypeAdapterTest.testDeserializeDeeplyNestedObjects [gson]"
"gson","21","com.google.gson.internal.ReflectionAccessFilterHelper.getFilterResult(List<ReflectionAccessFilter>,Class<?>)","1","com.google.gson.functional.CollectionTest.testSetDeserialization [gson]"
"gson","22","com.google.gson.internal.bind.DefaultDateTypeAdapter.write(JsonWriter,Date)","1","com.google.gson.internal.bind.DefaultDateTypeAdapterTest.testFormattingInEnUs [gson]"
"gson","23","com.google.gson.internal.LinkedTreeMap.get(Object)","1","com.google.gson.ObjectTypeAdapterTest.testDeserializeDeeplyNestedObjects [gson]"
"gson","24","com.google.gson.internal.Primitives.wrap(Class<T>)","1","com.google.gson.functional.PrimitiveTest.testLongAsStringDeserialization [gson]"
"gson","25","com.google.gson.GsonBuilder.registerTypeAdapter(Type,Object)","1","com.google.gson.functional.GsonVersionDiagnosticsTest.testAssertionErrorInSerializationPrintsVersion [gson]"
"gson","26","com.google.gson.GsonBuilder.addTypeAdaptersForDate(String,int,int,List<TypeAdapterFactory>)","1","com.google.gson.functional.VersioningTest.testVersionedGsonMixingSinceAndUntilSerialization [gson]"
"gson","27","com.google.gson.internal.bind.TreeTypeAdapter.read(JsonReader)","1","com.google.gson.functional.CustomDeserializerTest.testDefaultConstructorNotCalledOnField [gson]"
"gson","28","com.google.gson.internal.Excluder.excludeField(Field,boolean)","1","com.google.gson.functional.ExposeFieldsTest.testExposeAnnotationDeserialization [gson]"
