"Project","MethodIndex","Method","Count","Tests"
"gson","1","com.google.gson.internal.Excluder.isAnonymousOrNonStaticLocal(Class<?>)","5","com.google.gson.functional.FieldNamingTest.testLowerCaseWithDashes [gson],com.google.gson.functional.StreamingTypeAdaptersTest.testDeserializeNullObject [gson],com.google.gson.functional.FieldNamingTest.testLowerCaseWithUnderscores [gson],com.google.gson.functional.InheritanceTest.testSubClassSerialization [gson],com.google.gson.GsonTest.testDefaultGsonNewBuilderModification [gson]"
"gson","2","com.google.gson.internal.bind.util.ISO8601Utils.parse(String,ParsePosition)","5","com.google.gson.internal.bind.util.ISO8601UtilsTest.testDateParseInvalidDay [gson],com.google.gson.internal.bind.util.ISO8601UtilsTest.testDateParseSpecialTimezone [gson],com.google.gson.internal.bind.util.ISO8601UtilsTest.testDateParseWithTimezone [gson],com.google.gson.internal.bind.util.ISO8601UtilsTest.testDateParseInvalidMonth [gson]"
"gson","3","com.google.gson.internal.bind.ReflectiveTypeAdapterFactory.getBoundFields(Gson,TypeToken<?>,Class<?>,boolean,boolean)","5","com.google.gson.functional.StreamingTypeAdaptersTest.testDeserializeMap [gson],com.google.gson.functional.Java17RecordTest.testUnknownJsonProperty [gson],com.google.gson.functional.JsonAdapterAnnotationOnFieldsTest.testFieldAnnotationTakesPrecedenceOverClassAnnotation [gson],com.google.gson.functional.CircularReferenceTest.testDirectedAcyclicGraphDeserialization [gson],com.google.gson.functional.EscapingTest.testEscapingObjectFields [gson]"
"gson","4","com.google.gson.internal.bind.DefaultDateTypeAdapter.deserializeToDate(JsonReader)","3","com.google.gson.internal.bind.DefaultDateTypeAdapterTest.testParsingDatesFormattedWithSystemLocale [gson],com.google.gson.internal.bind.DefaultDateTypeAdapterTest.testParsingDatesFormattedWithUsLocale [gson]"
"gson","5","com.google.gson.reflect.TypeToken.getTypeTokenTypeArgument()","3","com.google.gson.functional.MapTest.testMapStandardSubclassDeserialization [gson],com.google.gson.functional.CustomTypeAdaptersTest.testCustomAdapterInvokedForMapElementSerializationWithType [gson],com.google.gson.functional.ParameterizedTypesTest.testParameterizedTypeWithCustomSerializer [gson]"
"gson","6","com.google.gson.internal.bind.ObjectTypeAdapter.read(JsonReader)","2","com.google.gson.ObjectTypeAdapterTest.testDeserializeDeeplyNestedObjects [gson],com.google.gson.ObjectTypeAdapterTest.testDeserializeDeeplyNestedArrays [gson]"
"gson","7","com.google.gson.internal.bind.ObjectTypeAdapter.newFactory(ToNumberStrategy)","2","com.google.gson.functional.ObjectTest.testEmptyCollectionInAnObjectSerialization [gson],com.google.gson.functional.TreeTypeAdaptersTest.testDeserializeId [gson]"
"gson","8","com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory.create(Gson,TypeToken<T>)","2","com.google.gson.functional.CollectionTest.testIssue1107 [gson],com.google.gson.functional.JsonAdapterAnnotationOnFieldsTest.testClassAnnotationAdapterTakesPrecedenceOverDefault [gson]"
"gson","9","com.google.gson.internal.Excluder.excludeClassChecks(Class<?>)","2","com.google.gson.functional.VersioningTest.testVersionedGsonWithUnversionedClassesSerialization [gson],com.google.gson.functional.VersioningTest.testIgnoreLaterVersionClassDeserialization [gson]"
"gson","10","com.google.gson.Gson.fromJson(String,Class<T>)","2","com.google.gson.functional.Java17RecordTest.testPrimitiveDefaultValues [gson],com.google.gson.functional.NamingPolicyTest.testGsonWithUpperCamelCaseSpacesPolicyDeserialiation [gson]"
"gson","11","com.google.gson.stream.JsonReader.doPeek()","2","com.google.gson.JsonParserTest.testParseDeeplyNestedObjects [gson],com.google.gson.JsonParserTest.testParseDeeplyNestedArrays [gson]"
"gson","12","com.google.gson.internal.bind.CollectionTypeAdapterFactory.create(Gson,TypeToken<T>)","1","com.google.gson.functional.DefaultTypeAdaptersTest.testSetSerialization [gson]"
"gson","13","com.google.gson.Gson.getAdapter(TypeToken<T>)","1","com.google.gson.functional.ParameterizedTypesTest.testParameterizedTypeGenericArraysSerialization [gson]"
"gson","14","com.google.gson.Gson.toJson(Object,Type,Appendable)","1","com.google.gson.functional.CollectionTest.testStack [gson]"
