"Project","MethodIndex","Method","Count","Tests"
"junit4","1","junit.framework.TestResult.cloneListeners()","336","junit.tests.extensions.ActiveTestTest.testActiveRepeatedTest1 [],junit.tests.extensions.ActiveTestTest.testActiveRepeatedTest [],junit.tests.extensions.ActiveTestTest.testActiveTest []"
"junit4","2","org.junit.runner.Description.formatDisplayName(String,String)","124","org.junit.tests.running.methods.ExpectedTest.unexpected [],org.junit.tests.experimental.theories.runner.WithUnresolvedGenericTypeVariablesOnTheoryParms.whereTypeVariableIsOnTheoryParm [],org.junit.validator.AnnotationsValidatorTest.validatorIsCalledForAClass [],org.junit.internal.ChecksTest.notNullWithMessageShouldThrowOnNullValues [],org.junit.tests.experimental.theories.runner.WithExtendedParameterSources.getDataPointsFromArrayMethod [],org.junit.tests.running.classes.parent.ParentRunnerClassLoaderTest.testDescriptionContainCorrectTestClass [],org.junit.tests.running.classes.EnclosedTest.enclosedRunnerIsNamedForEnclosingClass [],org.junit.tests.manipulation.SingleMethodTest.classesWithSuiteMethodsAreFiltered [],org.junit.rules.TestWatchmanTest.neitherLogSuccessNorFailedForViolatedAssumption [],org.junit.tests.listening.RunnerTest.testFinished [],org.junit.tests.manipulation.SingleMethodTest.eliminateUnnecessaryTreeBranches [],org.junit.internal.runners.ErrorReportingRunnerTest.givenInvalidTestClassErrorAsCause [],org.junit.experimental.categories.CategoriesAndParameterizedTest.runsTestMethodWithCategory [],org.junit.tests.listening.RunnerTest.oldTestCount [],org.junit.tests.running.classes.EnclosedTest.enclosedRunnerRunsConcreteEnclosedClasses [],org.junit.internal.ChecksTest.notNullWithMessageShouldReturnNonNullValues [],org.junit.tests.experimental.theories.runner.WithNamedDataPoints.onlyUseSpecificDataPointsIfSpecified [],org.junit.rules.TemporaryFolderRuleAssuredDeletionTest.testFailsWhenCreatedFolderCannotBeDeletedButDeletionIsAssured [],org.junit.experimental.categories.JavadocTest.slowTests [],org.junit.tests.running.classes.SuiteTest.suiteClassDoesNotNeedToBePublic [],org.junit.rules.MethodRulesTest.runsAllMethodRulesThatAreReturnedByMethods [],org.junit.internal.MethodSorterTest.testMethodsNullSorterSuper [],org.junit.tests.listening.TestListenerTest.failingListener [],org.junit.validator.PublicClassValidatorTest.acceptsPublicClass [],org.junit.runners.parameterized.ParameterizedNamesTest.parameterizedTestsWithSpecialCharsInName [],org.junit.tests.running.core.JUnitCoreReturnsCorrectExitCodeTest.missingClassCausesExitCodeOf1 [],org.junit.internal.runners.ErrorReportingRunnerTest.cannotCreateWithNullClass [],org.junit.tests.junit3compatibility.JUnit4TestAdapterTest.testJUnit3Suite [],org.junit.rules.MethodRulesTest.succeeded [],org.junit.rules.ClassRulesTest.methodCustomRuleIsAppliedOnce [],org.junit.tests.running.core.JUnitCoreReturnsCorrectExitCodeTest.failureCausesExitCodeOf1 [],org.junit.tests.description.AnnotatedDescriptionTest.getAnnotationsReturnsAllAnnotations [],org.junit.tests.running.methods.TestMethodTest.constructorParameter [],org.junit.rules.MethodRulesTest.validateWrongTypedFieldInSuperclass [],org.junit.tests.experimental.max.DescriptionTest.sameNamesButDifferentUniqueIdAreNotEqual [],org.junit.tests.experimental.theories.runner.WithDataPointMethod.ignoreDataPointMethodsWithWrongTypes [],org.junit.tests.running.classes.RunWithTest.characterizeErrorMessageFromBadRunner [],org.junit.rules.TestWatcherTest$InterplayWithOtherRules.expectedExceptionIsSeenAsSuccessfulTest [],org.junit.rules.DisableOnDebugTest.whenRunWithoutDebugFlagsTestShouldPass [],org.junit.tests.junit3compatibility.ClassRequestTest.noSuiteMethodIfMethodPrivate [],org.junit.rules.MethodRulesTest.ruleIsIntroducedAndEvaluatedOnSubclass [],org.junit.tests.validation.BadlyFormedClassesTest.badBeforeMethodWithLegacyRunner [],org.junit.tests.listening.TestListenerTest.reportsFailureOfListener [],org.junit.internal.builders.AnnotatedBuilderTest.memberClassDeepInsideAnnotatedMemberClass_isRunWithParentMemberClassRunner [],org.junit.runner.JUnitCoreTest.shouldAddFailuresToResult [],org.junit.tests.running.classes.BlockJUnit4ClassRunnerTest.detectNonStaticEnclosedClass [],org.junit.tests.experimental.theories.runner.FailingDataPointMethods.shouldFailFromExceptionsInSingleDataPointMethods [],org.junit.internal.ChecksTest.notNullShouldThrowOnNullValues [],org.junit.tests.running.core.JUnitCoreReturnsCorrectExitCodeTest.successCausesExitCodeOf0 [],org.junit.tests.running.classes.RunWithTest.run [],org.junit.tests.experimental.theories.runner.FailingDataPointMethods.shouldFailFromExceptionsInDataPointArrayMethods [],junit.tests.framework.SuiteTest.testOneTestCase [],org.junit.internal.MethodSorterTest.testMethodsNullSorterSelf [],org.junit.validator.AnnotationsValidatorTest.validatorIsCalledForAField [],org.junit.tests.experimental.theories.runner.WithUnresolvedGenericTypeVariablesOnTheoryParms.whereTypeVariableIsOnTheoryClass [],org.junit.internal.runners.ErrorReportingRunnerTest.cannotCreateWithoutClass [],org.junit.internal.MethodSorterTest.testAscendingMethodSorter [],org.junit.tests.experimental.theories.runner.WithUnresolvedGenericTypeVariablesOnTheoryParms.whereTypeVariableIsOnTheTheory [],org.junit.tests.validation.ValidationTest.initializationErrorIsOnCorrectClass [],org.junit.tests.manipulation.SingleMethodTest.parameterizedFilterToSingleMethod [],org.junit.internal.ChecksTest.notNullWithNullMessageShouldThrowOnNullValues [],org.junit.tests.experimental.theories.runner.WithExtendedParameterSources.ShouldRejectTheoriesWithOnlyDisallowedNullData [],org.junit.rules.ClassRulesTest.classRulesModifiableList [],org.junit.rules.BlockJUnit4ClassRunnerOverrideTest.overrideCreateTestMethod [],org.junit.rules.TemporaryFolderRuleAssuredDeletionTest.byDefaultTestDoesNotFailWhenCreatedFolderCannotBeDeleted [],org.junit.tests.experimental.theories.runner.WithUnresolvedGenericTypeVariablesOnTheoryParms.whereTypeVariableIsOnWildcardUpperBoundOnTheoryParm [],org.junit.rules.DisableOnDebugTest.whenRunWithPreJava5DebugArgumentsInReverseOrderTestShouldFail [],org.junit.rules.RuleChainTest.whenRuleChainHasNullRuleTheStacktraceShouldPointToIt [],org.junit.internal.builders.AnnotatedBuilderTest.memberClassDeepInsideAnnotatedTopLevelClass_isRunWithTopLevelRunner [],org.junit.rules.MethodRulesTest.runsMethodRuleThatIsReturnedByMethod [],org.junit.tests.junit3compatibility.JUnit4TestAdapterTest.testJUnit4SuiteThatContainsJUnit3SuiteClass [],org.junit.tests.manipulation.SingleMethodTest.nonexistentMethodCreatesFailure [],org.junit.tests.experimental.theories.runner.FailingDataPointMethods.shouldNotIgnoreNonMatchingMultipleDataPointExceptions [],org.junit.tests.junit3compatibility.SuiteMethodTest.makeSureSuiteWorksWithJUnit4Classes [],org.junit.tests.listening.ListenerTest.notifyListenersInTheOrderInWhichTheyAreAdded [],org.junit.experimental.categories.CategoriesAndParameterizedTest.doesNotRunTestsWithoutCategory [],org.junit.tests.validation.ValidationTest.nonStaticBeforeClass [],org.junit.internal.MethodSorterTest.testMethodsNullSorterSub [],org.junit.tests.experimental.theories.runner.FailingDataPointMethods.shouldIgnoreMultipleDataPointMethodExceptionsOnRequest [],org.junit.tests.description.SuiteDescriptionTest.equalsIsCorrect [],org.junit.runner.notification.SynchronizedRunListenerTest.overridesAllMethodsInRunListener [],org.junit.runners.model.InvalidTestClassErrorTest.invalidTestClassErrorShouldListAllValidationErrorsInItsMessage [],org.junit.rules.MethodRulesTest.multipleRulesAreRun [],org.junit.rules.ClassRulesTest.classRulesModifiableListEmpty [],org.junit.internal.builders.AnnotatedBuilderTest.topLevelTestClassWithoutAnnotation_isRunWithDefaultRunner [],org.junit.tests.running.classes.SuiteTest.suiteTestCountIsCorrect [],org.junit.tests.experimental.theories.PotentialAssignmentTest.shouldReturnGivenValue [],org.junit.experimental.categories.CategoryValidatorTest.errorIsAddedWhenCategoryIsUsedWithAfterClass [],org.junit.tests.junit3compatibility.SuiteMethodTest.makeSureSuiteNotUsedWithJUnit4Classes2 [],org.junit.tests.running.classes.parent.ParentRunnerClassLoaderTest.testBackwardCompatibilityWithOverrideGetName [],org.junit.tests.experimental.theories.runner.WithUnresolvedGenericTypeVariablesOnTheoryParms.whereTypeVariableIsOnWildcardLowerBoundOnTheoryParm [],org.junit.tests.running.classes.parent.ParentRunnerClassLoaderTest.testClassRuleAccessToClassInAnotherClassLoader [],org.junit.tests.junit3compatibility.SuiteMethodTest.descriptionAndRunNotificationsAreConsistent [],org.junit.tests.experimental.theories.PotentialAssignmentTest.shouldUseQuotedValueInDescription [],org.junit.rules.ClassRulesTest.usesFieldAndMethodRule [],org.junit.tests.listening.RunnerTest.newTestCount [],org.junit.rules.MethodRulesTest.ignoreNonRules [],org.junit.internal.builders.AnnotatedBuilderTest.memberClassInsideAnnotatedTopLevelClass_isRunWithTopLevelRunner [],org.junit.runner.RequestTest.reportsInitializationErrorThrownWhileCreatingSuite [],org.junit.tests.validation.BadlyFormedClassesTest.noRunnableMethods [],org.junit.tests.experimental.theories.TestedOnSupplierTest.descriptionStatesParameterName [],org.junit.rules.ClassRulesTest.methodRuleIsIntroducedAndEvaluatedOnSubclass [],org.junit.runner.notification.SynchronizedRunListenerTest.equalsDelegates [],org.junit.tests.description.TestDescriptionTest.equalsIsFalseForSameNameAndDifferentUniqueId [],org.junit.tests.manipulation.SingleMethodTest.filteringAffectsPlan [],org.junit.tests.experimental.theories.runner.WithDataPointMethod.pickUpDataPointMethods [],org.junit.tests.experimental.max.DescriptionTest.parseClassNameAndMethodUniqueId [],org.junit.tests.experimental.theories.PotentialAssignmentTest.shouldIncludeFailureInDescriptionIfToStringFails [],org.junit.rules.MethodRulesTest.validatePrivateRule [],org.junit.rules.DisableOnDebugTest.givenPreJava5DebugArgumentsInReverseIsDebuggingShouldReturnTrue [],org.junit.tests.validation.BadlyFormedClassesTest.constructorException [],org.junit.rules.DisableOnDebugTest.whenRunWithPreJava5DebugArgumentsTestShouldFail [],org.junit.experimental.categories.MultiCategoryTest.inheritanceAllAny [],org.junit.tests.running.classes.RunWithTest.runWithExtendsToSubclasses [],org.junit.tests.experimental.theories.runner.WithUnresolvedGenericTypeVariablesOnTheoryParms.whereTypeVariableIsOnComponentOfArrayTypeOnTheoryParm [],org.junit.tests.running.methods.InheritedTestTest.subclassWithOnlyInheritedTestsRuns [],org.junit.rules.BlockJUnit4ClassRunnerOverrideTest.createTestDefersToNoArgCreateTest [],org.junit.experimental.categories.CategoryValidatorTest.errorIsAddedWhenCategoryIsUsedWithBeforeClass [],org.junit.rules.RuleChainTest.aroundShouldNotAllowNullRules [],org.junit.rules.ClassRulesTest.classRuleOrdering [],org.junit.experimental.categories.MultiCategoryTest.inheritanceAllIncluded [],org.junit.rules.MethodRulesTest.beforesAndAfters [],org.junit.internal.builders.AnnotatedBuilderTest.annotatedMemberClassInsideAnnotatedTopLevelClass_isRunWithOwnRunner [],org.junit.rules.DisableOnDebugTest.givenArgumentsWithoutDebugFlagsIsDebuggingShouldReturnFalse []"
"junit4","3","org.junit.runners.model.TestClass.getOnlyConstructor()","61","org.junit.rules.TempFolderRuleTest.recursiveDeleteFolderWithOneRandomElement [],org.junit.tests.manipulation.OrderWithTest$TestClassRunnerIsOrderableWithSuiteMethod.orderingBackwardWorksOnTestClassRunner [],org.junit.tests.experimental.max.DescriptionTest.createSuiteDescription_whenZeroLength [],org.junit.tests.running.methods.TimeoutTest.failureWithTimeoutRunTimeException [],org.junit.rules.MethodRulesTest.onFailure [],org.junit.rules.RuleMemberValidatorTest.rejectProtectedClassRule [],org.junit.tests.running.classes.ParameterizedTestTest.validateClassCatchesNoParameters [],org.junit.tests.manipulation.SortableTest$TestOnlySortableClassRunnerIsSortable.sortingForwardWorksOnTestClassRunner [],org.junit.rules.TempFolderRuleTest.tempFolderIsOnlyAccessibleByOwner [],org.junit.tests.experimental.theories.runner.WithExtendedParameterSources.shouldFilterOutNullSingleDataPoints [],org.junit.experimental.categories.CategoryTest.noIncludeCategoryAnnotation [],org.junit.tests.running.classes.SuiteTest.ensureInheritedTestIsRun [],org.junit.rules.MethodRulesTest.validateWrongTypedField [],org.junit.tests.running.classes.ParameterizedTestTest.failuresNamedCorrectly [],org.junit.tests.experimental.theories.runner.WithDataPointMethod.mutableObjectsAreCreatedAfresh [],org.junit.tests.running.classes.ParameterizedTestTest.multipleParametersBeforeParamAndAfterParamAreRun [],org.junit.tests.running.classes.ParameterizedTestTest.countsFailures [],org.junit.rules.RuleMemberValidatorTest.methodRejectNonStaticClassRule [],org.junit.rules.RuleMemberValidatorTest.rejectMethodStaticTestRule [],org.junit.runner.notification.RunNotifierTest.addFirstAndRemoveWithNonThreadSafeListener [],org.junit.tests.running.classes.SuiteTest.beforeAndAfterClassRunOnSuite [],org.junit.tests.experimental.theories.runner.WithUnresolvedGenericTypeVariablesOnTheoryParms.whereTypeVariableIsOnParameterizedTheoryParm [],org.junit.tests.listening.TestListenerTest.freshResultEachTime [],org.junit.tests.running.classes.ParameterizedTestTest.exceptionWhenPrivateConstructor [],org.junit.tests.running.methods.TimeoutTest.makeSureAfterIsCalledAfterATimeout [],org.junit.rules.RuleMemberValidatorTest.rejectMethodStaticMethodRule [],org.junit.rules.TempFolderRuleTest.nameClashesResultInTestFailures [],org.junit.runners.model.FrameworkFieldTest.missingAnnotationIsNotAvailable [],org.junit.rules.RuleMemberValidatorTest.rejectNonStaticClassRule [],org.junit.tests.running.classes.ParameterizedTestTest.runsForEverySingleArgumentOfArray [],org.junit.tests.experimental.theories.runner.WithOnlyTestAnnotations.honorTimeout [],org.junit.rules.ClassRulesTest.methodRuleIsAppliedOnce [],org.junit.tests.running.classes.ParameterizedTestTest.multipleBeforeParamAndAfterParamAreRun [],org.junit.rules.MethodRulesTest.useCustomMethodRule [],org.junit.tests.experimental.theories.runner.WithExtendedParameterSources.shouldFilterOutNullElementsFromDataPointArrays [],org.junit.tests.description.SuiteDescriptionTest.hashCodeIsReasonable [],org.junit.validator.AnnotationValidatorFactoryTest.createAnnotationValidator [],org.junit.tests.running.classes.ParameterizedTestTest.runsForEverySingleArgumentOfCollection [],org.junit.runner.notification.SynchronizedRunListenerTest.namedListenerCorrectlyImplementsEqualsAndHashCode [],org.junit.tests.junit3compatibility.InitializationErrorForwardCompatibilityTest.initializationErrorsShowUpAsWarnings [],org.junit.rules.MethodRulesTest.ruleIsIntroducedAndEvaluatedOnSubclassOfNonPublicClass [],org.junit.internal.builders.AnnotatedBuilderTest.topLevelTestClassWithAnnotation_isRunWithAnnotatedRunner [],org.junit.tests.running.methods.TimeoutTest.testZeroTimeoutIsIgnored [],org.junit.tests.running.classes.BlockJUnit4ClassRunnerTest.methodBlockAfterFireTestStarted [],org.junit.tests.running.classes.SuiteTest.whatHappensWhenASuiteHasACycle [],org.junit.runner.notification.SynchronizedRunListenerTest.toStringDelegates [],org.junit.tests.running.methods.TestMethodTest.onlyIgnoredMethodsIsStillFineTestClass [],org.junit.tests.manipulation.SingleMethodTest.parameterizedBeforeClass [],org.junit.rules.TempFolderRuleTest.recursiveDeleteFolderWithZeroElements [],org.junit.tests.running.methods.TimeoutTest.timeoutFailureMultithreaded [],org.junit.rules.StopwatchTest.runtimeAfterTestShouldReturnRunDuration [],org.junit.tests.experimental.theories.runner.WithExtendedParameterSources.getDataPointsFromArrayMethodInSpiteOfMalformedness [],org.junit.internal.runners.ErrorReportingRunnerTest.cannotCreateWithNullClass2 [],org.junit.rules.RuleMemberValidatorTest.acceptMethodRule [],org.junit.rules.ClassRulesTest.ruleIsIntroducedAndEvaluatedOnSubclass [],org.junit.rules.RuleMemberValidatorTest.acceptMethodNonStaticTestRule [],org.junit.tests.running.classes.ParameterizedTestTest.countsRuns [],org.junit.tests.running.classes.ParameterizedTestTest.meaningfulFailureWhenParametersNotPublic [],org.junit.runners.model.FrameworkMethodTest.presentAnnotationIsAvailable [],org.junit.tests.manipulation.SortableTest$TestOnlySortableClassRunnerIsSortable.sortingBackwardWorksOnTestClassRunner [],org.junit.rules.RuleMemberValidatorTest.rejectStaticTestRule []"
"junit4","4","org.junit.runners.BlockJUnit4ClassRunner.validateInstanceMethods(List<Throwable>)","26","org.junit.tests.running.classes.ParentRunnerTest.testMultipleFilters [],org.junit.tests.experimental.results.ResultMatchersTest.hasFailureContaining_givenResultWithNoFailures [],org.junit.internal.MethodSorterTest.testJvmMethodSorter [],org.junit.tests.junit3compatibility.SuiteMethodTest.suiteIsUsedWithJUnit4Classes [],org.junit.rules.TestRuleTest.testRuleIsAroundMethodRule [],org.junit.rules.TestRuleTest.onlyApplyOnceEvenIfImplementsBothInterfaces [],org.junit.tests.running.classes.ParentRunnerTest.assertionErrorAtParentLevelTest [],org.junit.tests.experimental.theories.internal.SpecificDataPointsSupplierTest.shouldReturnNothingIfTheNamedDataPointsAreMissing [],org.junit.experimental.categories.MultiCategoryTest.inheritanceAnyIncluded [],org.junit.experimental.categories.CategoryValidatorTest.errorIsNotAddedWhenCategoryIsNotCombinedWithIllegalCombination [],org.junit.tests.experimental.theories.internal.SpecificDataPointsSupplierTest.shouldReturnOnlyTheNamedSingleFieldDataPoints [],org.junit.tests.junit3compatibility.AllTestsTest.correctTestCountAdapted [],org.junit.rules.RuleMemberValidatorTest.methodRejectArbitraryObjectWithRuleAnnotation [],org.junit.tests.running.classes.ParentRunnerTest.assumptionViolatedAtParentLevel [],org.junit.rules.TestRuleTest.beforesAndAfters [],org.junit.tests.running.classes.ParentRunnerTest.parentRunnerTestMethods [],org.junit.tests.experimental.theories.internal.SpecificDataPointsSupplierTest.shouldReturnOnlyTheNamedDataPoints [],org.junit.tests.junit3compatibility.AllTestsTest.someUsefulDescription [],org.junit.experimental.categories.CategoryValidatorTest.errorIsAddedWhenCategoryIsUsedWithBefore [],org.junit.rules.RuleMemberValidatorTest.rejectClassRuleThatReturnsImplementationOfMethodRule [],org.junit.tests.manipulation.FilterTest.intersectionText [],org.junit.tests.experimental.results.ResultMatchersTest.hasFailureContaining_givenResultWithOneFailure [],org.junit.rules.RuleMemberValidatorTest.rejectArbitraryObjectWithRuleAnnotation [],org.junit.rules.TestRuleTest.methodUseCustomMethodRule [],org.junit.internal.matchers.StacktracePrintingMatcherTest.failsWhenInnerMatcherFails [],org.junit.rules.TestRuleTest.testRuleOrderingWithMethodRule []"
"junit4","5","org.junit.internal.runners.statements.InvokeMethod.evaluate()","23","org.junit.tests.running.methods.TimeoutTest.successWithTimeout [],org.junit.rules.TimeoutRuleTest.timeUnitTimeout [],org.junit.tests.running.methods.TimeoutTest.failureWithTimeoutRunTimeException [],org.junit.tests.running.methods.TimeoutTest.compatibility [],org.junit.tests.running.methods.TimeoutTest.timeoutFailureMultithreaded [],org.junit.tests.running.methods.TimeoutTest.infiniteLoop [],org.junit.tests.running.methods.TimeoutTest.stalledThreadAppearsInStackTrace [],org.junit.tests.running.methods.TimeoutTest.makeSureAfterIsCalledAfterATimeout [],org.junit.tests.running.methods.TimeoutTest.testZeroTimeoutIsIgnored [],org.junit.rules.TimeoutRuleTest.longTimeout [],org.junit.tests.running.methods.TimeoutTest.testGetTimeout [],org.junit.tests.running.methods.TimeoutTest.failureWithTimeout [],org.junit.tests.running.methods.TimeoutTest.timeoutFailureMultithreadedStuckInMain []"
"junit4","6","org.junit.runners.ParentRunner.validateClassRules(List<Throwable>)","20","junit.tests.framework.AssertTest.testAssertFalse [],junit.tests.runner.ResultTest.testRunAssumptionFailedResultCanBeSerialised [],junit.tests.framework.AssertTest.testFail [],org.junit.tests.running.methods.AnnotationTest.testTwoTests [],org.junit.tests.assertion.AssertionTest.arraysDeclaredAsObjectAreComparedAsObjects [],org.junit.tests.assertion.AssertionTest.assertNotEqualsIncludesTheValueBeingTested [],org.junit.tests.running.methods.AnnotationTest.testOneTimeTeardown [],org.junit.tests.running.methods.AnnotationTest.testSetupFailure [],org.junit.tests.assertion.AssertionTest.assertThrowsUsesNameUponTypeMismatchWithAnonymousClass [],junit.tests.framework.ComparisonCompactorTest.testComparisonErrorOverlappingMatchesContext [],org.junit.tests.assertion.AssertionTest.multiDimensionalArraysDifferentLengthMessage [],org.junit.tests.running.methods.AnnotationTest.testOldSuiteTest [],junit.tests.runner.ResultTest.testRunSuccessResultCanBeReserialised_v4_12 [],junit.tests.runner.ResultTest.testRunSuccessResultCanBeReserialised_v4_13 [],junit.tests.runner.TextFeedbackTest.testError [],org.junit.tests.assertion.AssertionTest.assertThrowsSuppliesTheSpecifiedMessageUponTypeMismatch [],org.junit.tests.assertion.AssertionTest.arraysDifferentLengthDifferingAtEndAndExpectedArrayLongerMessage [],junit.tests.framework.ComparisonCompactorTest.testSame [],org.junit.AssumptionViolatedExceptionTest.assumptionViolatedExceptionWithoutValueAndMatcherCanBeReserialized_v4_13 [],org.junit.tests.assertion.AssertionTest.assertThatIncludesDescriptionOfTestedValueInErrorMessage []"
"junit4","7","org.junit.internal.runners.rules.RuleMemberValidator.classRuleValidatorBuilder()","13","junit.tests.framework.ComparisonCompactorTest.testComparisonErrorEndSameCompleteContext [],junit.tests.framework.ComparisonCompactorTest.testComparisonErrorOverlappingMatches2Context [],org.junit.tests.junit3compatibility.ForwardCompatibilityTest.testRunWithClass [],org.junit.tests.junit3compatibility.ForwardCompatibilityTest.testNotifyResult [],org.junit.tests.junit3compatibility.ForwardCompatibilityTest.testUseGlobalCache [],junit.tests.extensions.ExtensionTest.testRunningErrorInTestSetup [],org.junit.tests.junit3compatibility.ForwardCompatibilityTest.testCompatibility [],org.junit.tests.assertion.AssertionTest.multiDimensionalArraysAreEqual [],org.junit.tests.assertion.AssertionTest.arraysDifferAtElement1nullMessage [],org.junit.AssumptionViolatedExceptionTest.toStringReportsValue [],org.junit.rules.TemporaryFolderUsageTest.newFolderWithPathContainingForwardSlashCreatesDirectories [],junit.tests.framework.ComparisonCompactorTest.testComparisonErrorEndSameComplete [],org.junit.rules.TemporaryFolderUsageTest.newFileWithGivenFilenameThrowsIOExceptionIfFileExists []"
"junit4","8","org.junit.runners.ParentRunner.getDescription()","12","org.junit.tests.running.methods.InheritedTestTest.subclassWithInheritedTestAndOwnBeforeRunsBefore [],org.junit.tests.experimental.parallel.ParallelClassTest.testsRunInParallel [],org.junit.tests.junit3compatibility.AllTestsTest.ensureTestIsRun [],org.junit.internal.runners.statements.ExpectExceptionTest.whenExpectingAssumptionViolatedExceptionStatementsPassingShouldFail [],org.junit.tests.experimental.theories.runner.WithDataPointMethod.ignoreDataPointMethodsWithoutAnnotation [],org.junit.tests.validation.FailedConstructionTest.failedConstructionIsTestFailure [],org.junit.validator.AnnotationsValidatorTest.validatorIsCalledForAMethod [],org.junit.internal.matchers.ThrowableCauseMatcherTest.shouldAllowCauseOfDifferentClassFromRoot [],org.junit.internal.runners.statements.ExpectExceptionTest.whenExpectingAssumptionViolatedExceptionStatementsThrowingItShouldPass [],org.junit.tests.running.classes.SuiteTest.suiteShouldComplainAboutNoSuiteClassesAnnotation [],org.junit.tests.junit3compatibility.SuiteMethodTest.makeSureSuiteIsCalled []"
"junit4","9","org.junit.runners.model.FrameworkMethod.getAnnotations()","4","org.junit.tests.running.classes.ParameterizedTestTest.failureOnInitialization [],org.junit.experimental.categories.CategoryTest.runMethodWithTwoCategories [],org.junit.experimental.categories.CategoryTest.ifNoTestsToRunUseErrorRunner [],org.junit.experimental.categories.CategoryTest.testCountOnJustA []"
"junit4","10","org.junit.runners.ParentRunner.shouldRun(Filter,T)","4","junit.tests.framework.SuiteTest.testNoTestCaseClass [],junit.tests.framework.SuiteTest.testCreateSuiteFromArray [],junit.tests.framework.SuiteTest.testNotExistingTestCase [],junit.tests.framework.SuiteTest.testShadowedTests []"
