"Project","MethodIndex","Method","Count","Tests"
"spark","1","spark.embeddedserver.jetty.EmbeddedJettyServer.ignite(String,int,SslStores,int,int,int)","88","spark.CookiesIntegrationTest.testRemoveCookie [],spark.GenericIntegrationTest.testEchoParamWithMaj [],spark.RedirectTest.testRedirectAnyPut [],spark.embeddedserver.jetty.EmbeddedJettyFactoryTest.create [],spark.RequestTest.testQueryParamsValues_whenParamExists [],spark.RequestTest.testContextPath [],spark.GenericSecureIntegrationTest.testEchoParamWithMaj [],spark.RedirectTest.testRedirectPut [],spark.GenericIntegrationTest.routes_should_be_accept_type_aware [],spark.RedirectTest.testRedirectAnyPostWithSpecificCode [],spark.staticfiles.StaticFilesTest.testCustomMimeType [],spark.GenericSecureIntegrationTest.testNotFound [],spark.staticfiles.StaticFilesTest.testMimeTypes [],spark.GenericIntegrationTest.testEchoParam1 [],spark.RequestTest.testServletPath [],spark.RequestTest.testCookies_whenCookiesArePresent [],spark.RequestTest.testHost [],spark.GenericSecureIntegrationTest.testPost [],spark.RequestTest.testProtocol [],spark.GenericIntegrationTest.paths_should_be_very_nestable [],spark.BodyAvailabilityTest.testPost [],spark.GenericIntegrationTest.testRuntimeExceptionForDone [],spark.StaticFilesMemberTest.testStaticFileHeaders [],spark.StaticFilesMemberTest.testStaticFileExpireTime [],spark.RequestTest.testPort [],spark.customerrorpages.CustomErrorPagesTest.testCustomInternal [],spark.BooksIntegrationTest.canDeleteBook [],spark.RequestTest.testCookie_whenCookiesAreNotPresent [],spark.RequestTest.testQueryParams [],spark.BooksIntegrationTest.canGetUpdatedBook [],spark.embeddedserver.jetty.EmbeddedJettyFactoryTest.create_withThreadPool [],spark.GenericIntegrationTest.testGetByteBufferHi [],spark.GenericIntegrationTest.testEchoParam2 [],spark.GenericSecureIntegrationTest.testGetHi [],spark.ResponseBodyTest.testPORAKATIKAOKAO [],spark.GenericIntegrationTest.testTwoRoutesWithDifferentCaseButSameName [],spark.MultipleServicesTest.testGetUniqueForSecondWithFirst [],spark.GenericIntegrationTest.testParamAndWild [],spark.GenericIntegrationTest.testGetRoot [],spark.ServicePortIntegrationTest.testGetPort_withRandomPort [],spark.GenericIntegrationTest.testParamWithEncodedSlash [],spark.RequestTest.testSession_whenCreateIsTrue_afterSessionInvalidate [],spark.RequestTest.testSessionNpParams_afterSessionInvalidate [],spark.RequestTest.testScheme [],spark.RequestTest.testIp [],spark.GenericIntegrationTest.testXForwardedFor [],spark.RequestTest.queryParamOrDefault_shouldReturnDefault_whenQueryParamIsNull [],spark.embeddedserver.jetty.EmbeddedJettyFactoryTest.create_withoutHttpOnly [],spark.GenericSecureIntegrationTest.testPatch [],spark.ResponseBodyTest.testMAXIME [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithFirst [],spark.RequestTest.testSession_2times [],spark.staticfiles.StaticFilesTest.testStaticFilePagesIndexHtml [],spark.RequestTest.testHeaders [],spark.GenericIntegrationTest.testGetHiAfterFilter [],spark.StaticFilesMemberTest.testExternalStaticFile [],spark.RequestTest.testContentType [],spark.GenericIntegrationTest.testNotFoundExceptionMapper [],spark.GenericSecureIntegrationTest.testEchoParam2 [],spark.FilterTest.testJustFilter [],spark.RequestTest.testUrl [],spark.RequestTest.shouldBeAbleToGetTheContextPath [],spark.RequestTest.queryParamOrDefault_shouldReturnQueryParam_whenQueryParamExists [],spark.GenericSecureIntegrationTest.testGetRoot [],spark.GenericIntegrationTest.paths_should_be_nestable [],spark.RequestTest.testURI [],spark.GenericIntegrationTest.testWebSocketConversation [],spark.BooksIntegrationTest.canGetBook [],spark.RequestTest.testRequestMethod []"
"spark","2","spark.embeddedserver.jetty.SocketConnectorFactory.createHttpConnectionFactory(boolean)","57","spark.CookiesIntegrationTest.testRemoveCookie [],spark.MultipleServicesTest.testGetUniqueForSecondWithSecond [],spark.RequestTest.testSession_whenCreateIsTrue [],spark.embeddedserver.jetty.EmbeddedJettyFactoryTest.create [],spark.GenericSecureIntegrationTest.testEchoParamWithMaj [],spark.GenericIntegrationTest.routes_should_be_accept_type_aware [],spark.GenericSecureIntegrationTest.testEchoParam1 [],spark.RedirectTest.testRedirectAnyPostWithSpecificCode [],spark.customerrorpages.CustomErrorPagesTest.testGetHi [],spark.RequestTest.testSession_whenCreateIsFalse [],spark.RedirectTest.testRedirectAnyGet [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithSecond [],spark.RequestTest.testCookies_whenCookiesAreNotPresent [],spark.RedirectTest.testRedirectAnyPutWithSpecificCode [],spark.GenericIntegrationTest.testHiHead [],spark.RequestTest.testSession_whenCreateIsFalse_afterSessionInvalidate [],spark.RequestTest.testPort [],spark.RedirectTest.testRedirectAnyDelete [],spark.RequestTest.testCookie_whenCookiesAreNotPresent [],spark.GenericIntegrationTest.testStaticFile [],spark.GenericSecureIntegrationTest.testGetHi [],spark.GenericIntegrationTest.testTypedExceptionMapper [],spark.staticfiles.StaticFilesTest.testExceptionMapping404 [],spark.GenericIntegrationTest.testGetInputStreamHi [],spark.GenericIntegrationTest.testGetRoot [],spark.GenericIntegrationTest.testPostProcessBodyForFinally [],spark.ServicePortIntegrationTest.testGetPort_withRandomPort [],spark.GenericIntegrationTest.testGetBinaryHi [],spark.GenericIntegrationTest.testSplatWithEncodedSlash [],spark.GenericIntegrationTest.testInheritanceExceptionMapper [],spark.GenericIntegrationTest.testPost [],spark.GenericIntegrationTest.testXForwardedFor [],spark.CookiesIntegrationTest.testRemoveCookieWithPath [],spark.GenericIntegrationTest.testEchoParam3 [],spark.staticfiles.StaticFilesTest.testDirectoryTraversalProtectionLocal [],spark.ResponseBodyTest.testSPECIAL [],spark.staticfiles.StaticFilesTest.testStaticFileCssStyleCss [],spark.embeddedserver.EmbeddedServersTest.testAdd_whenConfigureRoutes_createsCustomServer [],spark.StaticFilesMemberTest.testExternalStaticFile [],spark.RequestTest.testContentType [],spark.embeddedserver.jetty.SocketConnectorFactoryTest.testCreateSocketConnector [],spark.GenericIntegrationTest.testNotFoundExceptionMapper [],spark.RedirectTest.testRedirectAnyGetWithSpecificCode [],spark.MultipleServicesTest.testGetAllRoutesFromBothServices [],spark.GenericIntegrationTest.testExternalStaticFile [],spark.UnmapTest.testUnmap [],spark.RedirectTest.testRedirectGet [],spark.StaticFilesFromArchiveTest.testCss [],spark.RequestTest.testURI [],spark.BooksIntegrationTest.canUpdateBook []"
"spark","3","spark.embeddedserver.jetty.JettyServer.create(int,int,int)","26","spark.GenericSecureIntegrationTest.testHiHead [],spark.staticfiles.StaticFilesTest.testDirectoryTraversalProtectionLocal [],spark.GenericIntegrationTest.testHiHead [],spark.embeddedserver.jetty.JettyServerTest.testCreateServer_whenNonDefaultMaxThreadsOnly_thenUseDefaultMinThreadsAndTimeout [],spark.MultipleServicesTest.testGetUniqueForSecondWithSecond [],spark.GenericIntegrationTest.paths_should_be_very_nestable [],spark.ResponseWrapperDelegationTest.filters_can_detect_content_type [],spark.customerrorpages.CustomErrorPagesTest.testCustomInternal [],spark.GenericSecureIntegrationTest.testEchoParamWithMaj [],spark.embeddedserver.jetty.JettyServerTest.testCreateServer_whenNonDefaultMaxThreads_isLessThanDefaultMinThreads [],spark.RequestTest.testCookie_whenCookiesAreNotPresent [],spark.GenericIntegrationTest.routes_should_be_accept_type_aware [],spark.GenericIntegrationTest.testNotFound [],spark.BooksIntegrationTest.wontFindBook [],spark.RedirectTest.testRedirectAnyGetWithSpecificCode [],spark.staticfiles.StaticFilesTest.testCustomMimeType [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithSecond [],spark.CookiesIntegrationTest.testRemoveCookieWithPath [],spark.RequestTest.testCookies_whenCookiesAreNotPresent [],spark.InitExceptionHandlerTest.testInitExceptionHandler [],spark.GenericIntegrationTest.testGetHi [],spark.GenericIntegrationTest.testWebSocketConversation [],spark.RequestTest.shouldBeAbleToGetTheServletPath []"
"spark","4","spark.embeddedserver.jetty.EmbeddedJettyFactory.create(Routes,StaticFilesConfiguration,ExceptionMapper,boolean)","25","spark.GenericIntegrationTest.testEchoParamWithMaj [],spark.GenericIntegrationTest.filters_should_be_accept_type_aware [],spark.GenericIntegrationTest.testGetInputStreamHi [],spark.GenericIntegrationTest.paths_should_be_very_nestable [],spark.ServicePortIntegrationTest.testGetPort_withRandomPort [],spark.GenericIntegrationTest.testNotFoundExceptionMapper [],spark.StaticFilesMemberTest.testExceptionMapping404 [],spark.GenericIntegrationTest.testRuntimeExceptionForAllRoutesFinally [],spark.GenericIntegrationTest.testNotFound [],spark.GenericIntegrationTest.testXForwardedFor [],spark.RequestTest.testQueryParamsValues_whenParamDoesNotExists [],spark.ResponseWrapperDelegationTest.filters_can_detect_response_status [],spark.GzipTest.testStaticFileCssStyleCss [],spark.RequestTest.queryParamOrDefault_shouldReturnDefault_whenQueryParamIsNull [],spark.RedirectTest.testRedirectAnyPost [],spark.CookiesIntegrationTest.testRemoveCookieWithPath [],spark.GenericIntegrationTest.testStaticFile [],spark.GenericIntegrationTest.testEchoParam3 [],spark.GenericIntegrationTest.testTwoRoutesWithDifferentCaseButSameName [],spark.RequestTest.testSessionNoParams_whenSessionIsNull [],spark.GenericSecureIntegrationTest.testPost []"
"spark","5","spark.embeddedserver.jetty.EmbeddedJettyServer.extinguish()","21","spark.staticfiles.StaticFilesTest.testExceptionMapping404 [],spark.staticfiles.DisableMimeGuessingTest.testCustomMimeType [],spark.StaticFilesMemberTest.testExternalStaticFile [],spark.GenericIntegrationTest.testNotFoundExceptionMapper [],spark.GenericSecureIntegrationTest.testEchoParamWithMaj [],spark.staticfiles.StaticFilesTest.testStaticFilePageHtml [],spark.StaticFilesMemberTest.testStaticFileCssStyleCss [],spark.GenericIntegrationTest.routes_should_be_accept_type_aware [],spark.GenericSecureIntegrationTest.testEchoParam1 [],spark.CookiesIntegrationTest.testEmptyCookies [],spark.staticfiles.StaticFilesTest.testCustomMimeType [],spark.GenericIntegrationTest.testEchoParam2 [],spark.CookiesIntegrationTest.testRemoveCookieWithPath [],spark.InitExceptionHandlerTest.testInitExceptionHandler [],spark.GenericSecureIntegrationTest.testGetHi [],spark.GenericIntegrationTest.testPatch [],spark.GenericIntegrationTest.testEchoParamWithUpperCaseInValue [],spark.ResponseBodyTest.testMAXIME [],spark.BooksIntegrationTest.canGetBook []"
"spark","6","spark.embeddedserver.jetty.websocket.WebSocketServletContextHandlerFactory.create(Map<String,WebSocketHandlerWrapper>,Optional<Long>)","20","spark.GenericIntegrationTest.template_view_should_be_rendered_with_given_model_view_object [],spark.GenericIntegrationTest.testParamAndWild [],spark.GenericIntegrationTest.testGetInputStreamHi [],spark.GenericIntegrationTest.testPostProcessBodyForFinally [],spark.GenericIntegrationTest.testGetBinaryHi [],spark.GenericIntegrationTest.testNotFoundExceptionMapper [],spark.GenericIntegrationTest.testSplatWithEncodedSlash [],spark.GenericIntegrationTest.testExternalStaticFile [],spark.GenericIntegrationTest.testEchoParam2 [],spark.GenericIntegrationTest.testStaticFile [],spark.GenericIntegrationTest.testEchoParam3 [],spark.GenericIntegrationTest.testWebSocketConversation [],spark.GenericIntegrationTest.testTwoRoutesWithDifferentCaseButSameName [],spark.GenericIntegrationTest.testEchoParamWithUpperCaseInValue [],spark.GenericIntegrationTest.testPathParamsWithPlusSign []"
"spark","7","spark.embeddedserver.jetty.SocketConnectorFactory.createSocketConnector(Server,String,int,boolean)","18","spark.GenericIntegrationTest.path_should_prefix_routes [],spark.GenericIntegrationTest.testHiHead [],spark.BooksIntegrationTest.canCreateBook [],spark.GenericIntegrationTest.testGetHiAfterFilter [],spark.RedirectTest.testRedirectGetWithSpecificCode [],spark.BodyAvailabilityTest.testPost [],spark.RedirectTest.testRedirectPost [],spark.FilterTest.testJustFilter [],spark.GenericIntegrationTest.testNotFound [],spark.embeddedserver.jetty.EmbeddedJettyFactoryTest.create_withThreadPool [],spark.RedirectTest.testRedirectAnyGet [],spark.GenericIntegrationTest.testExceptionMapper [],spark.CookiesIntegrationTest.testRemoveCookieWithPath [],spark.RequestTest.testServletPath [],spark.InitExceptionHandlerTest.testInitExceptionHandler [],spark.RequestTest.testRequestMethod [],spark.RequestTest.shouldBeAbleToGetTheServletPath [],spark.RequestTest.testProtocol []"
"spark","8","spark.http.matching.Body.serializeTo(HttpServletResponse,SerializerChain,HttpServletRequest)","16","spark.GenericIntegrationTest.path_should_prefix_routes [],spark.ResponseBodyTest.testSPECIAL [],spark.MultipleServicesTest.testGetUniqueForSecondWithFirst [],spark.GenericIntegrationTest.filters_should_be_accept_type_aware [],spark.BooksIntegrationTest.canCreateBook [],spark.RedirectTest.testRedirectAnyPut [],spark.BooksIntegrationTest.canListBooks [],spark.GenericIntegrationTest.testGetInputStreamHi [],spark.MultipleFiltersTest.testMultipleFilters [],spark.RedirectTest.testRedirectGet [],spark.GenericSecureIntegrationTest.testGetRoot [],spark.GenericSecureIntegrationTest.testGetHi [],spark.ResponseBodyTest.testPORAKATIKAOKAO [],spark.GenericIntegrationTest.testPatch [],spark.GzipTest.checkGzipCompression [],spark.ResponseBodyTest.testMAXIME []"
"spark","9","spark.Service.getPaths()","15","spark.servlet.ServletTest.testExternalStaticFile [],spark.staticfiles.DisableMimeGuessingTest.testMimeTypes [],spark.GenericIntegrationTest.testParamAndWild [],spark.servlet.ServletTest.testPost [],spark.GenericIntegrationTest.paths_should_be_very_nestable [],spark.GenericIntegrationTest.testRuntimeExceptionForDone [],spark.RedirectTest.testRedirectPut [],spark.BooksIntegrationTest.canGetUpdatedBook [],spark.servlet.ServletTest.testNotFound [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithSecond [],spark.RequestTest.queryParamOrDefault_shouldReturnDefault_whenQueryParamIsNull [],spark.GenericIntegrationTest.testExceptionMapper [],spark.MultipleServicesTest.testGetRedirectedHi [],spark.RequestTest.testSessionNoParams_whenSessionIsNull [],spark.GenericIntegrationTest.testTypedExceptionMapper []"
"spark","10","spark.staticfiles.StaticFilesConfiguration.consumeWithFileResourceHandlers(HttpServletRequest,HttpServletResponse)","6","spark.servlet.ServletTest.testStaticWelcomeResource [],spark.staticfiles.StaticFilesTest.testMimeTypes [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithSecond [],spark.StaticFilesMemberTest.testStaticFilePagesIndexHtml [],spark.StaticFilesMemberTest.testStaticFileExpireTime []"
