"Project","Rank","Method","Count","Tests"
"spark","1","spark.embeddedserver.jetty.EmbeddedJettyServer.ignite(String,int,SslStores,int,int,int)","59","spark.staticfiles.DisableMimeGuessingTest.testCustomMimeType [],spark.MultipleServicesTest.testGetUniqueForSecondWithSecond [],spark.staticfiles.StaticFilesTest.testStaticFilePageHtml [],spark.StaticFilesMemberTest.testStaticFileCssStyleCss [],spark.GenericSecureIntegrationTest.testEchoParam1 [],spark.GenericSecureIntegrationTest.testUnauthorized [],spark.RedirectTest.testRedirectAnyGet [],spark.staticfiles.StaticFilesTest.testCustomMimeType [],spark.GenericIntegrationTest.testEchoParam1 [],spark.RequestTest.testCookies_whenCookiesArePresent [],spark.GzipTest.checkGzipCompression [],spark.RequestTest.testSessionNoParams_whenSessionIsNull [],spark.RequestTest.testHost [],spark.GenericSecureIntegrationTest.testPost [],spark.RequestTest.testProtocol [],spark.GenericIntegrationTest.testHiHead [],spark.GenericIntegrationTest.testSessionReset [],spark.GenericIntegrationTest.paths_should_be_very_nestable [],spark.StaticFilesMemberTest.testStaticFileHeaders [],spark.embeddedserver.jetty.EmbeddedJettyFactoryTest.create_withThreadPool [],spark.GenericIntegrationTest.testGetByteBufferHi [],spark.ResponseBodyTest.testPORAKATIKAOKAO [],spark.GenericIntegrationTest.testTwoRoutesWithDifferentCaseButSameName [],spark.staticfiles.StaticFilesTest.testExceptionMapping404 [],spark.GenericIntegrationTest.template_view_should_be_rendered_with_given_model_view_object [],spark.customerrorpages.CustomErrorPagesTest.testCustomNotFound [],spark.GenericIntegrationTest.testGetRoot [],spark.ServicePortIntegrationTest.testGetPort_withRandomPort [],spark.GenericIntegrationTest.testParamWithEncodedSlash [],spark.GenericIntegrationTest.testInheritanceExceptionMapper [],spark.GenericIntegrationTest.testNotFound [],spark.RequestTest.testScheme [],spark.GenericIntegrationTest.testPost [],spark.RequestTest.testIp [],spark.GenericIntegrationTest.testXForwardedFor [],spark.ResponseWrapperDelegationTest.filters_can_detect_response_status [],spark.GenericIntegrationTest.testExceptionMapper [],spark.GenericSecureIntegrationTest.testPatch [],spark.ResponseBodyTest.testMAXIME [],spark.RequestTest.testSession_2times [],spark.GenericIntegrationTest.path_should_prefix_routes [],spark.staticfiles.StaticFilesTest.testStaticFilePagesIndexHtml [],spark.embeddedserver.EmbeddedServersTest.testAdd_whenConfigureRoutes_createsCustomServer [],spark.RedirectTest.testRedirectDelete [],spark.StaticFilesMemberTest.testExternalStaticFile [],spark.staticfiles.DisableMimeGuessingTest.testMimeTypes [],spark.RequestTest.shouldBeAbleToGetTheMatchedPath [],spark.GenericIntegrationTest.testNotFoundExceptionMapper [],spark.RedirectTest.testRedirectAnyDeleteWithSpecificCode [],spark.GenericIntegrationTest.testRuntimeExceptionForAllRoutesFinally [],spark.GenericIntegrationTest.testExternalStaticFile [],spark.RequestTest.queryParamShouldBeParsedAsHashMap [],spark.GenericSecureIntegrationTest.testXForwardedFor [],spark.GenericSecureIntegrationTest.testGetHiAfterFilter []"
"spark","2","spark.embeddedserver.jetty.EmbeddedJettyFactory.create(Routes,StaticFilesConfiguration,ExceptionMapper,boolean)","31","spark.CookiesIntegrationTest.testRemoveCookie [],spark.MultipleServicesTest.testGetUniqueForSecondWithSecond [],spark.ServicePortIntegrationTest.testGetPort_withRandomPort [],spark.RequestTest.testSession_whenCreateIsTrue_afterSessionInvalidate [],spark.GenericIntegrationTest.testInheritanceExceptionMapper [],spark.GenericIntegrationTest.routes_should_be_accept_type_aware [],spark.CookiesIntegrationTest.testEmptyCookies [],spark.customerrorpages.CustomErrorPagesTest.testGetHi [],spark.GenericSecureIntegrationTest.testUnauthorized [],spark.RequestTest.testScheme [],spark.GenericSecureIntegrationTest.testNotFound [],spark.GenericIntegrationTest.testUnauthorized [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithSecond [],spark.RequestTest.queryParamOrDefault_shouldReturnDefault_whenQueryParamIsNull [],spark.CookiesIntegrationTest.testRemoveCookieWithPath [],spark.CookiesIntegrationTest.testCreateCookie [],spark.GzipTest.checkGzipCompression [],spark.RequestTest.testSession_2times [],spark.RequestTest.shouldBeAbleToGetTheServletPath [],spark.staticfiles.StaticFilesTest.testStaticFilePagesIndexHtml [],spark.RequestTest.testSession_whenCreateIsFalse_afterSessionInvalidate [],spark.RedirectTest.testRedirectDelete [],spark.BooksIntegrationTest.canCreateBook [],spark.RedirectTest.testRedirectGetWithSpecificCode [],spark.StaticFilesMemberTest.testStaticFileHeaders [],spark.StaticFilesMemberTest.testStaticFileExpireTime [],spark.GenericSecureIntegrationTest.testEchoParam2 [],spark.BooksIntegrationTest.canDeleteBook [],spark.MultipleServicesTest.testGetHello [],spark.RequestTest.queryParamShouldBeParsedAsHashMap []"
"spark","3","spark.embeddedserver.jetty.SocketConnectorFactory.createHttpConnectionFactory()","17","spark.MultipleServicesTest.testGetUniqueForSecondWithFirst [],spark.RequestTest.testHeaders [],spark.staticfiles.DisableMimeGuessingTest.testMimeTypes [],spark.RedirectTest.testRedirectGetWithSpecificCode [],spark.embeddedserver.jetty.EmbeddedJettyFactoryTest.create [],spark.ServicePortIntegrationTest.testGetPort_withRandomPort [],spark.RequestTest.testContextPath [],spark.GenericIntegrationTest.routes_should_be_accept_type_aware [],spark.GenericIntegrationTest.testPost [],spark.embeddedserver.jetty.EmbeddedJettyFactoryTest.create_withThreadPool [],spark.RequestTest.queryParamShouldBeParsedAsHashMap [],spark.UnmapTest.testUnmap [],spark.GenericSecureIntegrationTest.testGetRoot [],spark.StaticFilesMemberTest.testStaticFilePagesIndexHtml [],spark.GenericIntegrationTest.testEchoParam3 [],spark.BooksIntegrationTest.canUpdateBook [],spark.GenericIntegrationTest.testEchoParamWithUpperCaseInValue []"
"spark","4","spark.embeddedserver.jetty.websocket.WebSocketServletContextHandlerFactory.create(Map<String,WebSocketHandlerWrapper>,Optional<Integer>)","14","spark.GenericIntegrationTest.testPostViaGetWithMethodOverrideHeader [],spark.GenericIntegrationTest.testEchoParamWithMaj [],spark.GenericIntegrationTest.testEchoParam1 [],spark.GenericIntegrationTest.testUnauthorized [],spark.GenericIntegrationTest.testExceptionMapper [],spark.GenericIntegrationTest.testEchoParam2 [],spark.GenericIntegrationTest.testGetRoot [],spark.GenericIntegrationTest.paths_should_be_nestable [],spark.GenericIntegrationTest.testParamWithEncodedSlash [],spark.GenericIntegrationTest.testTwoRoutesWithDifferentCaseButSameName [],spark.GenericIntegrationTest.testInheritanceExceptionMapper [],spark.GenericIntegrationTest.routes_should_be_accept_type_aware []"
"spark","5","spark.embeddedserver.jetty.JettyServer.create(int,int,int)","13","spark.staticfiles.DisableMimeGuessingTest.testCustomMimeType [],spark.GenericIntegrationTest.paths_should_be_very_nestable [],spark.RequestTest.testSession_whenCreateIsTrue [],spark.embeddedserver.jetty.JettyServerTest.testCreateServer_useDefaults [],spark.GenericIntegrationTest.testPostProcessBodyForFinally [],spark.RequestTest.testSession_whenCreateIsTrue_afterSessionInvalidate [],spark.MultipleFiltersTest.testMultipleFilters [],spark.RedirectTest.testRedirectAnyGet [],spark.MultipleServicesTest.testGetHello [],spark.GenericIntegrationTest.testEchoParam2 [],spark.RequestTest.queryParamShouldBeParsedAsHashMap [],spark.GenericSecureIntegrationTest.testPatch [],spark.RequestTest.testSession_2times []"
"spark","6","spark.embeddedserver.EmbeddedServers.initialize()","9","spark.RequestTest.testScheme [],spark.GenericIntegrationTest.testPost [],spark.BooksIntegrationTest.canCreateBook [],spark.GenericIntegrationTest.testExternalStaticFile [],spark.GenericIntegrationTest.testParamAndWild [],spark.GenericIntegrationTest.testGetInputStreamHi [],spark.RequestTest.testSession_whenCreateIsTrue [],spark.ResponseWrapperDelegationTest.filters_can_detect_content_type [],spark.RequestTest.testRequestMethod []"
"spark","7","spark.http.matching.Body.serializeTo(HttpServletResponse,SerializerChain,HttpServletRequest)","8","spark.GenericIntegrationTest.testEchoParam2 [],spark.RedirectTest.testRedirectAnyPost [],spark.RedirectTest.testRedirectGet [],spark.CookiesIntegrationTest.testCreateCookie [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithFirst [],spark.GenericSecureIntegrationTest.testEchoParam2 [],spark.GenericSecureIntegrationTest.testXForwardedFor [],spark.CookiesIntegrationTest.testEmptyCookies []"
"spark","8","spark.Service.getPaths()","7","spark.servlet.ServletTest.testEchoParam2 [],spark.MultipleFiltersTest.testMultipleFilters [],spark.GenericIntegrationTest.paths_should_be_very_nestable [],spark.RequestTest.testCookies_whenCookiesArePresent [],spark.RequestTest.testURI [],spark.GenericIntegrationTest.testTwoRoutesWithDifferentCaseButSameName [],spark.CookiesIntegrationTest.testEmptyCookies []"
"spark","9","spark.embeddedserver.jetty.EmbeddedJettyServer.extinguish()","7","spark.ResponseBodyTest.testSPECIAL [],spark.GenericIntegrationTest.testXForwardedFor [],spark.MultipleServicesTest.testGetRedirectedHi [],spark.StaticFilesMemberTest.testStaticFilePagesIndexHtml [],spark.MultipleServicesTest.testStaticFileCssStyleCssWithFirst [],spark.StaticFilesMemberTest.testExceptionMapping404 []"
"spark","10","spark.embeddedserver.jetty.SocketConnectorFactory.createSocketConnector(Server,String,int)","6","spark.RequestTest.testIp [],spark.RedirectTest.testRedirectDelete [],spark.RedirectTest.testRedirectAnyPost [],spark.GenericIntegrationTest.paths_should_be_very_nestable [],spark.customerrorpages.CustomErrorPagesTest.testCustomInternal [],spark.GenericIntegrationTest.testNotFound []"
